index,team,player_1,player_2,score_1,score_2
168,Royal Challengers Bangalore,GJ Maxwell,KS Bharat,28,39
169,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,4,22
,,,,,
170,Royal Challengers Bangalore,V Kohli,D Padikkal,25,38
171,Royal Challengers Bangalore,DT Christian,D Padikkal,0,0
172,Royal Challengers Bangalore,GJ Maxwell,D Padikkal,3,2
173,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,23,47
174,Royal Challengers Bangalore,GJ Maxwell,Shabhaz Ahmed,7,2
175,Royal Challengers Bangalore,KS Bharat,Shabhaz Ahmed,0,6
176,Royal Challengers Bangalore,KS Bharat,GHS Garton,0,0
177,Royal Challengers Bangalore,HV Patel,KS Bharat,1,0
,,,,,
178,Royal Challengers Bangalore,V Kohli,D Padikkal,5,1
179,Royal Challengers Bangalore,DT Christian,D Padikkal,1,10
180,Royal Challengers Bangalore,KS Bharat,D Padikkal,12,7
181,Royal Challengers Bangalore,GJ Maxwell,D Padikkal,40,13
182,Royal Challengers Bangalore,AB de Villiers,D Padikkal,7,10
183,Royal Challengers Bangalore,AB de Villiers,Shabhaz Ahmed,5,14
184,Royal Challengers Bangalore,AB de Villiers,GHS Garton,7,2
,,,,,
185,Royal Challengers Bangalore,V Kohli,D Padikkal,3,0
186,Royal Challengers Bangalore,V Kohli,KS Bharat,1,0
187,Royal Challengers Bangalore,AB de Villiers,KS Bharat,26,22
188,Royal Challengers Bangalore,GJ Maxwell,KS Bharat,51,56
,,,,,
189,Royal Challengers Bangalore,V Kohli,D Padikkal,22,21
190,Royal Challengers Bangalore,V Kohli,KS Bharat,10,9
191,Royal Challengers Bangalore,V Kohli,GJ Maxwell,7,10
192,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,11,3
193,Royal Challengers Bangalore,GJ Maxwell,Shabhaz Ahmed,2,7
194,Royal Challengers Bangalore,DT Christian,Shabhaz Ahmed,8,6
195,Royal Challengers Bangalore,DT Christian,HV Patel,1,6
196,Royal Challengers Bangalore,HV Patel,GHS Garton,2,0
